Distance_km,Fuel_Price,Time_of_Day,Weather,Vehicle_Type,Actual_Fare_PHP
3.1,?30-39,Off-Peak,Sunny,Tricycle,14
12.72,?40-49,Rush Hour Morning,Sunny,Single Motor,81
7.13,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.72,?60-69,Off-Peak,Sunny,Tricycle,17
14.17,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.31,?20-29,Rush Hour Evening,Sunny,Single Motor,38
8.34,?70-79,Off-Peak,Rainy,Single Motor,73
5.35,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.6,?80-89,Rush Hour Evening,Sunny,Single Motor,69
2.01,?30-39,Off-Peak,Rainy,Tricycle,24
10.9,?40-49,Rush Hour Morning,Sunny,Tricycle,32
6.69,?50-59,Rush Hour Evening,Sunny,Single Motor,52
14.54,?60-69,Off-Peak,Sunny,Tricycle,42
3.9,?90-99,Rush Hour Morning,Rainy,Single Motor,52
0.63,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.6,?70-79,Off-Peak,Rainy,Single Motor,90
4.58,?100 & up,Rush Hour Morning,Sunny,Single Motor,46
7.07,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.58,?30-39,Off-Peak,Sunny,Single Motor,25
13.44,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.8,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.22,?60-69,Off-Peak,Sunny,Single Motor,43
8.23,?90-99,Rush Hour Morning,Rainy,Single Motor,72
2.9,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.14,?70-79,Off-Peak,Sunny,Tricycle,34
6.83,?100 & up,Rush Hour Morning,Sunny,Single Motor,58
10.36,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.72,?30-39,Off-Peak,Sunny,Tricycle,15
12.16,?40-49,Rush Hour Morning,Sunny,Single Motor,78
7.34,?50-59,Rush Hour Evening,Rainy,Single Motor,67
1.15,?60-69,Off-Peak,Sunny,Tricycle,17
14.75,?90-99,Rush Hour Morning,Sunny,Tricycle,44
4.02,?20-29,Rush Hour Evening,Sunny,Single Motor,37
8.6,?70-79,Off-Peak,Rainy,Single Motor,75
5.09,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.13,?80-89,Rush Hour Evening,Sunny,Single Motor,67
2.4,?30-39,Off-Peak,Rainy,Tricycle,24
10,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.23,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.28,?60-69,Off-Peak,Sunny,Tricycle,41
3.2,?90-99,Rush Hour Morning,Rainy,Single Motor,48
1.1,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.83,?70-79,Off-Peak,Rainy,Single Motor,91
4.93,?100 & up,Rush Hour Morning,Sunny,Single Motor,48
7.77,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.34,?30-39,Off-Peak,Sunny,Single Motor,24
13.77,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.41,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.78,?60-69,Off-Peak,Sunny,Single Motor,46
8.49,?90-99,Rush Hour Morning,Rainy,Single Motor,74
2.33,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.38,?70-79,Off-Peak,Sunny,Tricycle,35
6.15,?100 & up,Rush Hour Morning,Sunny,Single Motor,53
10.74,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.93,?30-39,Off-Peak,Sunny,Tricycle,16
12.43,?40-49,Rush Hour Morning,Sunny,Single Motor,79
7.88,?50-59,Rush Hour Evening,Rainy,Single Motor,69
1.8,?60-69,Off-Peak,Sunny,Tricycle,17
13.51,?90-99,Rush Hour Morning,Sunny,Tricycle,41
4.24,?20-29,Rush Hour Evening,Sunny,Single Motor,38
8.01,?70-79,Off-Peak,Rainy,Single Motor,71
5.63,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.9,?80-89,Rush Hour Evening,Sunny,Single Motor,71
2.06,?30-39,Off-Peak,Rainy,Tricycle,24
10.5,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.57,?50-59,Rush Hour Evening,Sunny,Single Motor,51
14.83,?60-69,Off-Peak,Sunny,Tricycle,42
3.76,?90-99,Rush Hour Morning,Rainy,Single Motor,51
0.7,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.9,?70-79,Off-Peak,Rainy,Single Motor,92
4.36,?100 & up,Rush Hour Morning,Sunny,Single Motor,45
7.33,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.9,?30-39,Off-Peak,Sunny,Single Motor,27
13.33,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.99,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.33,?60-69,Off-Peak,Sunny,Single Motor,44
8,?90-99,Rush Hour Morning,Rainy,Single Motor,71
2.62,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.66,?70-79,Off-Peak,Sunny,Tricycle,35
6.44,?100 & up,Rush Hour Morning,Sunny,Single Motor,55
10.16,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.44,?30-39,Off-Peak,Sunny,Tricycle,15
12.27,?40-49,Rush Hour Morning,Sunny,Single Motor,79
7.48,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.43,?60-69,Off-Peak,Sunny,Tricycle,17
14.68,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.1,?20-29,Rush Hour Evening,Sunny,Single Motor,37
8.68,?70-79,Off-Peak,Rainy,Single Motor,75
5.9,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.77,?80-89,Rush Hour Evening,Sunny,Single Motor,70
2.98,?30-39,Off-Peak,Rainy,Tricycle,24
10.1,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.09,?50-59,Rush Hour Evening,Sunny,Single Motor,48
14.39,?60-69,Off-Peak,Sunny,Tricycle,41
3.33,?90-99,Rush Hour Morning,Rainy,Single Motor,49
1.14,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.09,?70-79,Off-Peak,Rainy,Single Motor,88
4.97,?100 & up,Rush Hour Morning,Sunny,Single Motor,49
7.22,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.79,?30-39,Off-Peak,Sunny,Single Motor,26
13,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.5,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.55,?60-69,Off-Peak,Sunny,Single Motor,45
8.3,?90-99,Rush Hour Morning,Rainy,Single Motor,73
2.25,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.87,?70-79,Off-Peak,Sunny,Tricycle,36
6.79,?100 & up,Rush Hour Morning,Sunny,Single Motor,57
10.84,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.06,?30-39,Off-Peak,Sunny,Tricycle,14
12.6,?40-49,Rush Hour Morning,Sunny,Single Motor,80
7.05,?50-59,Rush Hour Evening,Rainy,Single Motor,65
1.93,?60-69,Off-Peak,Sunny,Tricycle,17
14.98,?90-99,Rush Hour Morning,Sunny,Tricycle,44
4.68,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.15,?70-79,Off-Peak,Rainy,Single Motor,72
5.46,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.24,?80-89,Rush Hour Evening,Sunny,Single Motor,67
2.55,?30-39,Off-Peak,Rainy,Tricycle,24
10.33,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.92,?50-59,Rush Hour Evening,Sunny,Single Motor,53
14.09,?60-69,Off-Peak,Sunny,Tricycle,40
3.81,?90-99,Rush Hour Morning,Rainy,Single Motor,52
0.89,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.5,?70-79,Off-Peak,Rainy,Single Motor,90
4.49,?100 & up,Rush Hour Morning,Sunny,Single Motor,46
7.59,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.23,?30-39,Off-Peak,Sunny,Single Motor,24
13.6,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.21,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.14,?60-69,Off-Peak,Sunny,Single Motor,43
8.66,?90-99,Rush Hour Morning,Rainy,Single Motor,75
2.18,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.06,?70-79,Off-Peak,Sunny,Tricycle,34
6.36,?100 & up,Rush Hour Morning,Sunny,Single Motor,54
10.49,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.66,?30-39,Off-Peak,Sunny,Tricycle,15
12.82,?40-49,Rush Hour Morning,Sunny,Single Motor,81
7.75,?50-59,Rush Hour Evening,Rainy,Single Motor,69
1.36,?60-69,Off-Peak,Sunny,Tricycle,17
14.89,?90-99,Rush Hour Morning,Sunny,Tricycle,44
4.27,?20-29,Rush Hour Evening,Sunny,Single Motor,38
8.38,?70-79,Off-Peak,Rainy,Single Motor,74
5.99,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.46,?80-89,Rush Hour Evening,Sunny,Single Motor,69
2.72,?30-39,Off-Peak,Rainy,Tricycle,24
10.96,?40-49,Rush Hour Morning,Sunny,Tricycle,32
6.85,?50-59,Rush Hour Evening,Sunny,Single Motor,53
14.16,?60-69,Off-Peak,Sunny,Tricycle,40
3.48,?90-99,Rush Hour Morning,Rainy,Single Motor,50
0.96,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.18,?70-79,Off-Peak,Rainy,Single Motor,88
4.05,?100 & up,Rush Hour Morning,Sunny,Single Motor,43
7.44,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.46,?30-39,Off-Peak,Sunny,Single Motor,25
13.29,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.03,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.69,?60-69,Off-Peak,Sunny,Single Motor,46
8.91,?90-99,Rush Hour Morning,Rainy,Single Motor,77
2.48,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.27,?70-79,Off-Peak,Sunny,Tricycle,35
6.69,?100 & up,Rush Hour Morning,Sunny,Single Motor,56
10.7,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.28,?30-39,Off-Peak,Sunny,Tricycle,15
12.07,?40-49,Rush Hour Morning,Sunny,Single Motor,77
7.62,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.56,?60-69,Off-Peak,Sunny,Tricycle,17
14.5,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.89,?20-29,Rush Hour Evening,Sunny,Single Motor,42
8.52,?70-79,Off-Peak,Rainy,Single Motor,74
5.71,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9,?80-89,Rush Hour Evening,Sunny,Single Motor,66
2.21,?30-39,Off-Peak,Rainy,Tricycle,24
10.24,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.4,?50-59,Rush Hour Evening,Sunny,Single Motor,50
14.9,?60-69,Off-Peak,Sunny,Tricycle,42
3.99,?90-99,Rush Hour Morning,Rainy,Single Motor,52
0.5,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.99,?70-79,Off-Peak,Rainy,Single Motor,92
4.63,?100 & up,Rush Hour Morning,Sunny,Single Motor,47
7.18,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.03,?30-39,Off-Peak,Sunny,Single Motor,24
13.84,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.75,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.05,?60-69,Off-Peak,Sunny,Single Motor,42
8.15,?90-99,Rush Hour Morning,Rainy,Single Motor,72
2.83,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.77,?70-79,Off-Peak,Sunny,Tricycle,36
6.94,?100 & up,Rush Hour Morning,Sunny,Single Motor,58
10.62,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.58,?30-39,Off-Peak,Sunny,Tricycle,15
12.35,?40-49,Rush Hour Morning,Sunny,Single Motor,79
7.25,?50-59,Rush Hour Evening,Rainy,Single Motor,67
1.67,?60-69,Off-Peak,Sunny,Tricycle,17
14.24,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.52,?20-29,Rush Hour Evening,Sunny,Single Motor,40
8.84,?70-79,Off-Peak,Rainy,Single Motor,76
5.26,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.38,?80-89,Rush Hour Evening,Sunny,Single Motor,68
2.1,?30-39,Off-Peak,Rainy,Tricycle,24
10.46,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.72,?50-59,Rush Hour Evening,Sunny,Single Motor,52
14.6,?60-69,Off-Peak,Sunny,Tricycle,42
3.17,?90-99,Rush Hour Morning,Rainy,Single Motor,48
1.19,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.71,?70-79,Off-Peak,Rainy,Single Motor,91
4.18,?100 & up,Rush Hour Morning,Sunny,Single Motor,44
7.04,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.27,?30-39,Off-Peak,Sunny,Single Motor,24
13.52,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.32,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.82,?60-69,Off-Peak,Sunny,Single Motor,46
8.4,?90-99,Rush Hour Morning,Rainy,Single Motor,74
2.38,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.94,?70-79,Off-Peak,Sunny,Tricycle,36
6.59,?100 & up,Rush Hour Morning,Sunny,Single Motor,56
10.91,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.88,?30-39,Off-Peak,Sunny,Tricycle,16
12.95,?40-49,Rush Hour Morning,Sunny,Single Motor,82
7.92,?50-59,Rush Hour Evening,Rainy,Single Motor,70
1.52,?60-69,Off-Peak,Sunny,Tricycle,17
14.35,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.81,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.25,?70-79,Off-Peak,Rainy,Single Motor,73
5.95,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.7,?80-89,Rush Hour Evening,Sunny,Single Motor,70
2.68,?30-39,Off-Peak,Rainy,Tricycle,24
10.13,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.16,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.06,?60-69,Off-Peak,Sunny,Tricycle,40
3.56,?90-99,Rush Hour Morning,Rainy,Single Motor,50
0.82,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.41,?70-79,Off-Peak,Rainy,Single Motor,90
4.74,?100 & up,Rush Hour Morning,Sunny,Single Motor,47
7.54,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.83,?30-39,Off-Peak,Sunny,Single Motor,26
13.18,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.66,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.45,?60-69,Off-Peak,Sunny,Single Motor,45
8.76,?90-99,Rush Hour Morning,Rainy,Single Motor,76
2.93,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.45,?70-79,Off-Peak,Sunny,Tricycle,35
6.27,?100 & up,Rush Hour Morning,Sunny,Single Motor,54
10.8,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.19,?30-39,Off-Peak,Sunny,Tricycle,14
12.59,?40-49,Rush Hour Morning,Sunny,Single Motor,80
7.38,?50-59,Rush Hour Evening,Rainy,Single Motor,67
1.06,?60-69,Off-Peak,Sunny,Tricycle,17
14.65,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.14,?20-29,Rush Hour Evening,Sunny,Single Motor,37
8.07,?70-79,Off-Peak,Rainy,Single Motor,71
5.54,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.55,?80-89,Rush Hour Evening,Sunny,Single Motor,69
2.43,?30-39,Off-Peak,Rainy,Tricycle,24
10.79,?40-49,Rush Hour Morning,Sunny,Tricycle,32
6.64,?50-59,Rush Hour Evening,Sunny,Single Motor,51
14.44,?60-69,Off-Peak,Sunny,Tricycle,41
3.05,?90-99,Rush Hour Morning,Rainy,Single Motor,47
1.23,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.05,?70-79,Off-Peak,Rainy,Single Motor,88
4.33,?100 & up,Rush Hour Morning,Sunny,Single Motor,45
7.81,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.98,?30-39,Off-Peak,Sunny,Single Motor,27
13.92,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.54,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.3,?60-69,Off-Peak,Sunny,Single Motor,44
8.58,?90-99,Rush Hour Morning,Rainy,Single Motor,75
2.58,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.59,?70-79,Off-Peak,Sunny,Tricycle,35
6.52,?100 & up,Rush Hour Morning,Sunny,Single Motor,55
10.03,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.36,?30-39,Off-Peak,Sunny,Tricycle,15
12.86,?40-49,Rush Hour Morning,Sunny,Single Motor,82
7.17,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.86,?60-69,Off-Peak,Sunny,Tricycle,17
14.01,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.94,?20-29,Rush Hour Evening,Sunny,Single Motor,42
8.9,?70-79,Off-Peak,Rainy,Single Motor,77
5.16,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.17,?80-89,Rush Hour Evening,Sunny,Single Motor,67
2.8,?30-39,Off-Peak,Rainy,Tricycle,24
10.66,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.19,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.78,?60-69,Off-Peak,Sunny,Tricycle,42
3.66,?90-99,Rush Hour Morning,Rainy,Single Motor,51
0.59,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.31,?70-79,Off-Peak,Rainy,Single Motor,89
4.09,?100 & up,Rush Hour Morning,Sunny,Single Motor,43
7.48,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.09,?30-39,Off-Peak,Sunny,Single Motor,24
13.4,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.88,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.94,?60-69,Off-Peak,Sunny,Single Motor,47
8.27,?90-99,Rush Hour Morning,Rainy,Single Motor,73
2.02,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.17,?70-79,Off-Peak,Sunny,Tricycle,34
6.06,?100 & up,Rush Hour Morning,Sunny,Single Motor,53
10.99,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.92,?30-39,Off-Peak,Sunny,Tricycle,16
12.76,?40-49,Rush Hour Morning,Sunny,Single Motor,81
7.71,?50-59,Rush Hour Evening,Rainy,Single Motor,69
1.32,?60-69,Off-Peak,Sunny,Tricycle,17
14.21,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.41,?20-29,Rush Hour Evening,Sunny,Single Motor,39
8.76,?70-79,Off-Peak,Rainy,Single Motor,76
5.42,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.86,?80-89,Rush Hour Evening,Sunny,Single Motor,71
2.62,?30-39,Off-Peak,Rainy,Tricycle,24
10.56,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.3,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.57,?60-69,Off-Peak,Sunny,Tricycle,42
3.29,?90-99,Rush Hour Morning,Rainy,Single Motor,49
0.78,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.87,?70-79,Off-Peak,Rainy,Single Motor,91
4.25,?100 & up,Rush Hour Morning,Sunny,Single Motor,44
7.1,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.64,?30-39,Off-Peak,Sunny,Single Motor,26
13.06,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.18,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.08,?60-69,Off-Peak,Sunny,Single Motor,42
8.95,?90-99,Rush Hour Morning,Rainy,Single Motor,77
2.35,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.34,?70-79,Off-Peak,Sunny,Tricycle,35
6.9,?100 & up,Rush Hour Morning,Sunny,Single Motor,58
10.32,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.84,?30-39,Off-Peak,Sunny,Tricycle,16
12.19,?40-49,Rush Hour Morning,Sunny,Single Motor,78
7.08,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.2,?60-69,Off-Peak,Sunny,Tricycle,17
14.12,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.77,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.19,?70-79,Off-Peak,Rainy,Single Motor,72
5,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.28,?80-89,Rush Hour Evening,Sunny,Single Motor,68
2.9,?30-39,Off-Peak,Rainy,Tricycle,24
10.07,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.5,?50-59,Rush Hour Evening,Sunny,Single Motor,51
14.99,?60-69,Off-Peak,Sunny,Tricycle,42
3.4,?90-99,Rush Hour Morning,Rainy,Single Motor,49
1.03,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.64,?70-79,Off-Peak,Rainy,Single Motor,90
4.54,?100 & up,Rush Hour Morning,Sunny,Single Motor,46
7.63,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.16,?30-39,Off-Peak,Sunny,Single Motor,24
13.69,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.36,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.7,?60-69,Off-Peak,Sunny,Single Motor,46
8.2,?90-99,Rush Hour Morning,Rainy,Single Motor,72
2.7,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11,?70-79,Off-Peak,Sunny,Tricycle,34
6.2,?100 & up,Rush Hour Morning,Sunny,Single Motor,53
10.24,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.76,?30-39,Off-Peak,Sunny,Tricycle,16
12.44,?40-49,Rush Hour Morning,Sunny,Single Motor,79
7.75,?50-59,Rush Hour Evening,Rainy,Single Motor,70
1.76,?60-69,Off-Peak,Sunny,Tricycle,17
13.21,?90-99,Rush Hour Morning,Sunny,Tricycle,41
4.85,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.47,?70-79,Off-Peak,Rainy,Single Motor,74
5.57,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.34,?80-89,Rush Hour Evening,Sunny,Single Motor,68
2.51,?30-39,Off-Peak,Rainy,Tricycle,24
10.88,?40-49,Rush Hour Morning,Sunny,Tricycle,32
6.82,?50-59,Rush Hour Evening,Sunny,Single Motor,52
14.62,?60-69,Off-Peak,Sunny,Tricycle,42
3.16,?90-99,Rush Hour Morning,Rainy,Single Motor,48
1.17,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.69,?70-79,Off-Peak,Rainy,Single Motor,91
4.65,?100 & up,Rush Hour Morning,Sunny,Single Motor,47
7.91,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.45,?30-39,Off-Peak,Sunny,Single Motor,25
13.8,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.74,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.62,?60-69,Off-Peak,Sunny,Single Motor,46
8.59,?90-99,Rush Hour Morning,Rainy,Single Motor,74
2.15,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.83,?70-79,Off-Peak,Sunny,Tricycle,36
6.09,?100 & up,Rush Hour Morning,Sunny,Single Motor,53
10.48,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.63,?30-39,Off-Peak,Sunny,Tricycle,15
12.38,?40-49,Rush Hour Morning,Sunny,Single Motor,79
7.56,?50-59,Rush Hour Evening,Rainy,Single Motor,69
1.3,?60-69,Off-Peak,Sunny,Tricycle,17
14.11,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.67,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.32,?70-79,Off-Peak,Rainy,Single Motor,73
5.22,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.69,?80-89,Rush Hour Evening,Sunny,Single Motor,70
2.23,?30-39,Off-Peak,Rainy,Tricycle,24
10.32,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.54,?50-59,Rush Hour Evening,Sunny,Single Motor,50
14.32,?60-69,Off-Peak,Sunny,Tricycle,41
3.52,?90-99,Rush Hour Morning,Rainy,Single Motor,50
0.72,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.16,?70-79,Off-Peak,Rainy,Single Motor,88
4.28,?100 & up,Rush Hour Morning,Sunny,Single Motor,45
7.3,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.73,?30-39,Off-Peak,Sunny,Single Motor,26
13.47,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.41,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.38,?60-69,Off-Peak,Sunny,Single Motor,44
8.94,?90-99,Rush Hour Morning,Rainy,Single Motor,77
2.67,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.11,?70-79,Off-Peak,Sunny,Tricycle,34
6.76,?100 & up,Rush Hour Morning,Sunny,Single Motor,57
10.19,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.22,?30-39,Off-Peak,Sunny,Tricycle,15
12.02,?40-49,Rush Hour Morning,Sunny,Single Motor,77
7.4,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.9,?60-69,Off-Peak,Sunny,Tricycle,17
14.75,?90-99,Rush Hour Morning,Sunny,Tricycle,44
4.09,?20-29,Rush Hour Evening,Sunny,Single Motor,37
8.55,?70-79,Off-Peak,Rainy,Single Motor,74
5.87,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.43,?80-89,Rush Hour Evening,Sunny,Single Motor,68
2.83,?30-39,Off-Peak,Rainy,Tricycle,24
10.62,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.38,?50-59,Rush Hour Evening,Sunny,Single Motor,50
14.84,?60-69,Off-Peak,Sunny,Tricycle,42
3.14,?90-99,Rush Hour Morning,Rainy,Single Motor,47
0.83,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.8,?70-79,Off-Peak,Rainy,Single Motor,91
4.77,?100 & up,Rush Hour Morning,Sunny,Single Motor,48
7.82,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.35,?30-39,Off-Peak,Sunny,Single Motor,24
13.15,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.81,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.24,?60-69,Off-Peak,Sunny,Single Motor,44
8.22,?90-99,Rush Hour Morning,Rainy,Single Motor,72
2.08,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.5,?70-79,Off-Peak,Sunny,Tricycle,35
6.05,?100 & up,Rush Hour Morning,Sunny,Single Motor,52
10.97,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.89,?30-39,Off-Peak,Sunny,Tricycle,16
12.54,?40-49,Rush Hour Morning,Sunny,Single Motor,80
7.14,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.61,?60-69,Off-Peak,Sunny,Tricycle,17
13.99,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.38,?20-29,Rush Hour Evening,Sunny,Single Motor,39
8.97,?70-79,Off-Peak,Rainy,Single Motor,77
5.51,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.07,?80-89,Rush Hour Evening,Sunny,Single Motor,66
2.37,?30-39,Off-Peak,Rainy,Tricycle,24
10.28,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.67,?50-59,Rush Hour Evening,Sunny,Single Motor,51
14.51,?60-69,Off-Peak,Sunny,Tricycle,42
3.79,?90-99,Rush Hour Morning,Rainy,Single Motor,51
0.64,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.26,?70-79,Off-Peak,Rainy,Single Motor,89
